type_anomalie;fichier;feuille;ligne_excel;espece;code_boite;temperature;type_mesure;correction_encadrant;commentaire_encadrant
Codes boîte et espèces à vérifier;Suivi_2021.xlsx;Rhizostomae;95;Rhizostoma octopus;ROC-1.01;10;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2022.xlsx;Rhizostomae;143;Rhizostoma octopus;ROC-1.01;10;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2023.xlsx;Aurelia;47;Aurelia sp.1;ASP-EVA1.01;10;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2023.xlsx;UMR_MARBEC;3;Rhizostoma pulmo;RPU-FBA-1.01 (2B);20;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2023.xlsx;UMR_MARBEC;7;Rhizostoma pulmo;RPU-FBA-1.02 (7);20;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2023.xlsx;UMR_MARBEC;11;Rhizostoma pulmo;RPU-FBA-1.03 (2);20;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2023.xlsx;UMR_MARBEC;15;Rhizostoma pulmo;RPU-FBA-1.04 (8);20;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2024.xlsx;Aurelia;43;Aurelia sp.1;ASP-EVA1.01;10;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Aurelia;57;Aurelia sp.1;ASP-EVA1.01;10;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Hydrozoa;121;Hydrozoa sp.;Station n°1;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Hydrozoa;123;Hydrozoa sp.;Station n°2;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Hydrozoa;125;Hydrozoa sp.;Station n°3;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Hydrozoa;127;Hydrozoa sp.;Station n°5;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Hydrozoa;129;Jane Doe;JANEDOE-FBA-1.03;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Hydrozoa;131;Jane Doe;JANEDOE-FBA-1.04;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Semaestomeae;93;Chrysaora sp.2;"CHS-MGF-1.01
""red""";25;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Semaestomeae;95;Chrysaora sp.2;"CHS-MGF-2.01
""reddish""";25;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Semaestomeae;97;Chrysaora sp.2;"CHS-MGF-3.01
""reddish""";25;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2025.xlsx;Semaestomeae;99;Chrysaora sp.2;"CHS-MGF-4.01
""blue""";25;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Aurelia;45;Aurelia sp.1;ASP-EVA1.01;10;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Hydrozoa;107;Hydrozoa sp.;Station n°1;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Hydrozoa;109;Hydrozoa sp.;Station n°2;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Hydrozoa;111;Hydrozoa sp.;Station n°3;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Hydrozoa;113;Hydrozoa sp.;Station n°5;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Hydrozoa;115;Jane Doe;JANEDOE-FBA-1.03;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Hydrozoa;119;Jane Doe;JANEDOE-FBA-1.04;15;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Hydrozoa;161;Pennaria disticha;;25;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Semaestomeae;71;;CLA-JKA1.10;20;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Semaestomeae;95;Chrysaora sp.2;"CHS-MGF-1.01
""red""";25;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Semaestomeae;97;Chrysaora sp.2;"CHS-MGF-2.01
""reddish""";25;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Semaestomeae;99;Chrysaora sp.2;"CHS-MGF-3.01
""reddish""";25;Nb polypes;;
Codes boîte et espèces à vérifier;Suivi_2026.xlsx;Semaestomeae;101;Chrysaora sp.2;"CHS-MGF-4.01
""blue""";25;Nb polypes;;
