type_anomalie;code_espece;nom_detecte;fichiers_concernes;feuilles_concernees;exemples_codes_boite;nb_lignes_excel;correction_encadrant;commentaire_encadrant
Même code espèce avec plusieurs noms;AMO;Alatina morandini;Suivi_2024.xlsx;Cubozoa;AMO-JKA-1.06 | AMO-JKA-1.07 | AMO-JKA-1.08;3;;
Même code espèce avec plusieurs noms;AMO;Alatina morandinii;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Cubozoa;AMO-JKA-1.01 | AMO-JKA-1.02 | AMO-JKA-1.03 | AMO-JKA-1.04 | AMO-JKA-1.05 | AMO-JKA-1.06 | AMO-JKA-1.07 | AMO-JKA-1.08 | AMO-JKA-1.09;18;;
Même code espèce avec plusieurs noms;ATH;Aurelia sp. THAI;Suivi_2025.xlsx;Aurelia;ATH-THA-1.01;1;;
Même code espèce avec plusieurs noms;ATH;Aurelia sp.4;Suivi_2026.xlsx;Aurelia;ATH-THA-1.01;1;;
Même code espèce avec plusieurs noms;AVA;Aurelia malayensis;Suivi_2026.xlsx;Aurelia;AVA-TAI-1.01 | AVA-TAI-1.02;2;;
Même code espèce avec plusieurs noms;AVA;"Aurelia sp.2 ""Valentine""";Suivi_2024.xlsx | Suivi_2025.xlsx;Aurelia;AVA-TAI-1.01 | AVA-TAI-1.02;3;;
Même code espèce avec plusieurs noms;CAC;Chrysaoa achlyos;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx;Semaestomeae;CAC-JKA-1.01 | CAC-JKA-1.02 | CAC-JKA-1.03 | CAC-JKA-1.04 | CAC-JKA-1.05 | CAC-JKA-2.01;9;;
Même code espèce avec plusieurs noms;CAC;Chrysaora achlyos;Suivi_2023.xlsx | Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;CAC-JKA-1.04 | CAC-JKA-1.05 | CAC-JKA-2.01 | CAC-JKA-2.02 | CAC-JKA-2.03;11;;
Même code espèce avec plusieurs noms;CAC;"Chrysaora chesapeakei ""white""";Suivi_2026.xlsx;Semaestomeae;CAC-JKA-2.04 | CAC-JKA-2.05;2;;
Même code espèce avec plusieurs noms;CCP;Chrysaora chesapeakei;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx | Suivi_2024.xlsx;Semaestomeae;CCP-TPR-1.01 | CCP-TPR-1.02 | CCP-TPR-1.03 | CCP-TPR-1.04 | CCP-TPR-1.05 | CCP-TPR-1.06 | CCP-TPR-1.07 | CCP-TPR-1.08;16;;
Même code espèce avec plusieurs noms;CCP;"Chrysaora chesapeakei ""pink striped""";Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;CCP-ACH-3.01 | CCP-ACH-3.02;4;;
Même code espèce avec plusieurs noms;CCP;"Chrysaora chesapeakei ""pink""";Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;CCP-ACH-2.01 | CCP-ACH-2.02;4;;
Même code espèce avec plusieurs noms;CCP;"Chrysaora chesapeakei ""white""";Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;CCP-TPR-1.08 | CCP-TPR-1.09;3;;
Même code espèce avec plusieurs noms;CFV;"Cyanea fulva ""hybrid""";Suivi_2024.xlsx | Suivi_2025.xlsx;Semaestomeae;CFV-ACH-1.01;2;;
Même code espèce avec plusieurs noms;CFV;"Cyanea fulva ""yellow""";Suivi_2024.xlsx | Suivi_2025.xlsx;Semaestomeae;CFV-ACH-2.01;2;;
Même code espèce avec plusieurs noms;CLA;Chrysaora lactea;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx | Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;CLA-JKA-1.01 | CLA-JKA-1.02 | CLA-JKA-1.03 | CLA-JKA-1.04 | CLA-JKA-1.05 | CLA-JKA-1.06 | CLA-JKA-1.07 | CLA-JKA-1.08 | CLA-JKA-1.09 | CLA-JKA1.10;21;;
Même code espèce avec plusieurs noms;CLA;Cyanea lamarcki;Suivi_2024.xlsx | Suivi_2025.xlsx;Semaestomeae;CLA-JKA-4.01 | CLA-JKA-4.02 | CLA-JKA-4.03 | CLA-NBE-5.01;5;;
Même code espèce avec plusieurs noms;CLA;Cyanea lamarckii;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx | Suivi_2026.xlsx;Semaestomeae;CLA-AHE-2.01 | CLA-AHE-2.02 | CLA-EVA-3.01 | CLA-EVA-3.02 | CLA-EVA-3.03 | CLA-EVA-3.04 | CLA-JKA-4.01 | CLA-JKA-4.02 | CLA-NBE-5.01;15;;
Même code espèce avec plusieurs noms;CLH;Clytia hemisphaerica;Suivi_2020.xlsx | Suivi_2023.xlsx | Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Hydrozoa;CLH-FVI-1.01 | CLH-FVI-1.02 | CLH-FVI-1.03 | CLH-FVI-1.04 | CLH-FVI-1.05 | CLH-FVI-1.06 | CLH-FVI-1.07 | CLH-FVI-1.08;14;;
Même code espèce avec plusieurs noms;CLH;Clytia hemispherica;Suivi_2021.xlsx | Suivi_2022.xlsx;Hydrozoa;CLH-FVI-1.01 | CLH-FVI-1.02 | CLH-FVI-1.03 | CLH-FVI-1.04;6;;
Même code espèce avec plusieurs noms;CMU;Catablema multicirratum;Suivi_2024.xlsx;Hydrozoa;CMU-JKA-1.01;1;;
Même code espèce avec plusieurs noms;CMU;Clava multicornis;Suivi_2025.xlsx | Suivi_2026.xlsx;Hydrozoa;CMU-NBE-1.01;2;;
Même code espèce avec plusieurs noms;CNO;Cyanea nozakii;Suivi_2025.xlsx;Semaestomeae;CNO-JKA-1.02 | CNO-JKA-1.03;2;;
Même code espèce avec plusieurs noms;CNO;Cyanea nozakii Kishinouye;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx | Suivi_2024.xlsx;Semaestomeae;CNO-JKA-1.01 | CNO-JKA-1.02 | CNO-JKA-1.03 | CNO-JKA-1.04;12;;
Même code espèce avec plusieurs noms;COR;Coronatae sp.;Suivi_2025.xlsx | Suivi_2026.xlsx;Coronatae;COR-JIS-1.01;2;;
Même code espèce avec plusieurs noms;COR;Corynidae sp.;Suivi_2025.xlsx | Suivi_2026.xlsx;Hydrozoa;COR-MGF-1.01;2;;
Même code espèce avec plusieurs noms;LRO;Lobonemoides gracilis;Suivi_2026.xlsx;Rhizostomae;LRO-MAL-1.01;1;;
Même code espèce avec plusieurs noms;LRO;Lobonemoides robustus;Suivi_2025.xlsx;Rhizostomae;LRO-MAL-1.01;1;;
Même code espèce avec plusieurs noms;SMA;Sanderia malayensis;Suivi_2020.xlsx | Suivi_2021.xlsx | Suivi_2022.xlsx | Suivi_2023.xlsx;Semaestomeae;SMA-JKA-1.02 | SMA-JKA-1.03 | SMA-JKA-1.04 | SMA-JKA-1.05 | SMA-JKA-2.01 | SMA-JKA-2.02 | SMA-JKA-2.03 | SMA-JKA-2.04 | SMA-JKA-2.05 | SMA-JKA-2.06;21;;
Même code espèce avec plusieurs noms;SMA;"Sanderia malayensis ""brown""";Suivi_2024.xlsx | Suivi_2025.xlsx | Suivi_2026.xlsx;Semaestomeae;SMA-JKA-2.05 | SMA-JKA-2.06;6;;
