annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source,valeur_est_addition,code_espece_local,code_souche,numero_souche_local,code_provenance,numero_boite_local,raison_anomalie_bloquante,raison_validation_metier,decision_aquarium,correction_code_espece,correction_nom_scientifique,correction_code_souche,correction_code_boite,temperature_validee,commentaire_aquarium
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,1,polypes,1,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,5,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,2,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,6,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,3,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,7,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,4,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,8,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,5,polypes,1,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,9,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,6,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,10,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,7,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,11,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,8,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,12,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,9,polypes,2,2,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,13,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,10,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,14,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,11,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,15,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,12,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,16,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,13,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,17,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,14,polypes,1,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,18,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,15,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,19,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,16,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,20,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,17,polypes,2.0,2,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,21,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,18,polypes,2,2,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,22,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,19,polypes,2.0,2,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,23,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,20,polypes,2.0,2,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,24,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,21,polypes,2.0,2,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,25,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,22,polypes,2,2,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,26,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,23,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,27,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,24,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,28,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,25,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,29,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,26,polypes,1.0,1,standard,FF9900,Suivi_2021.xlsx,Rhizostomae,95,30,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,1,ephyrules,0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,5,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,2,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,6,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,3,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,7,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,4,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,8,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,5,ephyrules,0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,9,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,6,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,10,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,7,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,11,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,8,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,12,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,9,ephyrules,0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,13,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,10,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,14,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,11,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,15,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,12,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,16,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,13,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,17,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,14,ephyrules,0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,18,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,15,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,19,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,16,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,20,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,17,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,21,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,18,ephyrules,0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,22,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,19,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,23,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,20,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,24,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,21,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,25,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,22,ephyrules,0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,26,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,23,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,27,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,24,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,28,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
2021,Rhizostomae,Rhizostoma octopus,ROC-1.01,10.0,25,ephyrules,0.0,0,standard,FF0000,Suivi_2021.xlsx,Rhizostomae,96,29,False,ROC,ROC-1,,1.01,01,code_boite_non_standard;,,,,,,,,
