code_souche,code_boite,espece,fichier_source,feuille_source
ATH-THA-1,ATH-THA-1.01,Aurelia sp. THAI,Suivi_2025.xlsx,Aurelia
ATH-THA-1,ATH-THA-1.01,Aurelia sp.4,Suivi_2026.xlsx,Aurelia
AVA-TAI-1,AVA-TAI-1.01,Aurelia malayensis,Suivi_2026.xlsx,Aurelia
AVA-TAI-1,AVA-TAI-1.02,Aurelia malayensis,Suivi_2026.xlsx,Aurelia
AVA-TAI-1,AVA-TAI-1.01,"Aurelia sp.2 ""Valentine""",Suivi_2024.xlsx,Aurelia
AVA-TAI-1,AVA-TAI-1.01,"Aurelia sp.2 ""Valentine""",Suivi_2025.xlsx,Aurelia
AVA-TAI-1,AVA-TAI-1.02,"Aurelia sp.2 ""Valentine""",Suivi_2025.xlsx,Aurelia
CAC-JKA-2,CAC-JKA-2.01,Chrysaora achlyos,Suivi_2022.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.01,Chrysaora achlyos,Suivi_2023.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.01,Chrysaora achlyos,Suivi_2024.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.01,Chrysaora achlyos,Suivi_2025.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.01,Chrysaora achlyos,Suivi_2026.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.02,Chrysaora achlyos,Suivi_2023.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.02,Chrysaora achlyos,Suivi_2024.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.02,Chrysaora achlyos,Suivi_2025.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.02,Chrysaora achlyos,Suivi_2026.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.03,Chrysaora achlyos,Suivi_2026.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.04,"Chrysaora chesapeakei ""white""",Suivi_2026.xlsx,Semaestomeae
CAC-JKA-2,CAC-JKA-2.05,"Chrysaora chesapeakei ""white""",Suivi_2026.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.01,Chrysaora chesapeakei,Suivi_2020.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.01,Chrysaora chesapeakei,Suivi_2021.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.02,Chrysaora chesapeakei,Suivi_2020.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.02,Chrysaora chesapeakei,Suivi_2021.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.02,Chrysaora chesapeakei,Suivi_2022.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.03,Chrysaora chesapeakei,Suivi_2021.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.03,Chrysaora chesapeakei,Suivi_2022.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.04,Chrysaora chesapeakei,Suivi_2022.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.05,Chrysaora chesapeakei,Suivi_2022.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.05,Chrysaora chesapeakei,Suivi_2023.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.06,Chrysaora chesapeakei,Suivi_2022.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.06,Chrysaora chesapeakei,Suivi_2023.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.06,Chrysaora chesapeakei,Suivi_2024.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.07,Chrysaora chesapeakei,Suivi_2023.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.07,Chrysaora chesapeakei,Suivi_2024.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.08,Chrysaora chesapeakei,Suivi_2024.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.08,"Chrysaora chesapeakei ""white""",Suivi_2025.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.09,"Chrysaora chesapeakei ""white""",Suivi_2025.xlsx,Semaestomeae
CCP-TPR-1,CCP-TPR-1.09,"Chrysaora chesapeakei ""white""",Suivi_2026.xlsx,Semaestomeae
CFU-JKA-2,CFU-JKA-2.01,Chrysaora fuscescens,Suivi_2020.xlsx,Semaestomeae
CFU-JKA-2,CFU-JKA-2.01,Chrysaora fuscescens,Suivi_2021.xlsx,Semaestomeae
CFU-JKA-2,CFU-JKA-2.01,Chrysaora fuscescens,Suivi_2022.xlsx,Semaestomeae
CFU-JKA-2,CFU-JKA-2.04,Cotylorhiza tuberculata,Suivi_2023.xlsx,Rhizostomeae
LRO-MAL-1,LRO-MAL-1.01,Lobonemoides gracilis,Suivi_2026.xlsx,Rhizostomae
LRO-MAL-1,LRO-MAL-1.01,Lobonemoides robustus,Suivi_2025.xlsx,Rhizostomae
OCE-TAI-1,OCE-TAI-1.01,Oceaniidae sp.,Suivi_2025.xlsx,Hydrozoa
OCE-TAI-1,OCE-TAI-1.02,Oceaniidae sp.,Suivi_2026.xlsx,Hydrozoa
OCE-TAI-1,OCE-TAI-1.02,Pennaria disticha,Suivi_2026.xlsx,Hydrozoa
SMA-JKA-2,SMA-JKA-2.01,Sanderia malayensis,Suivi_2020.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.01,Sanderia malayensis,Suivi_2021.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.02,Sanderia malayensis,Suivi_2021.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.02,Sanderia malayensis,Suivi_2022.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.03,Sanderia malayensis,Suivi_2021.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.03,Sanderia malayensis,Suivi_2022.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.04,Sanderia malayensis,Suivi_2022.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.05,Sanderia malayensis,Suivi_2022.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.05,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.06,Sanderia malayensis,Suivi_2022.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.06,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.05,"Sanderia malayensis ""brown""",Suivi_2024.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.05,"Sanderia malayensis ""brown""",Suivi_2025.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.05,"Sanderia malayensis ""brown""",Suivi_2026.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.06,"Sanderia malayensis ""brown""",Suivi_2024.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.06,"Sanderia malayensis ""brown""",Suivi_2025.xlsx,Semaestomeae
SMA-JKA-2,SMA-JKA-2.06,"Sanderia malayensis ""brown""",Suivi_2026.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.01,Sanderia malayensis,Suivi_2022.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.01,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.02,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.03,Sanderia malayensis,Suivi_2023.xlsx,Semaestomeae
SMA-MAU-3,SMA-MAU-3.02,"Sanderia malayensis ""white""",Suivi_2024.xlsx,Semaestomeae
