annee,groupe,espece,code_boite,temperature_cible,semaine,type_mesure,valeur_brute,valeur,statut_cellule,couleur_cellule,fichier_source,feuille_source,ligne_source,colonne_source
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,20,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,25
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,21,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,26
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,22,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,27
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,23,nb,3,3,standard,,Suivi_2025.xlsx,Staurozoa,3,28
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,24,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,29
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,25,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,30
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,26,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,31
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,27,nb,3,3,standard,,Suivi_2025.xlsx,Staurozoa,3,32
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,28,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,33
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,29,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,34
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,30,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,3,35
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,31,nb,2,2,standard,,Suivi_2025.xlsx,Staurozoa,3,36
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,32,nb,2,2,standard,,Suivi_2025.xlsx,Staurozoa,3,37
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,33,nb,1.0,1.0,standard,,Suivi_2025.xlsx,Staurozoa,3,38
2025,Staurozoa,Lucernaria quadricornis,LQU-NBE-1.01,10,34,nb,0.0,0.0,standard,,Suivi_2025.xlsx,Staurozoa,3,39
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.01,15,20,nb,1.0,1.0,standard,,Suivi_2025.xlsx,Staurozoa,5,25
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.01,15,21,nb,0.0,0.0,standard,,Suivi_2025.xlsx,Staurozoa,5,26
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,20,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,25
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,21,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,26
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,22,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,27
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,23,nb,3,3,standard,,Suivi_2025.xlsx,Staurozoa,7,28
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,24,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,29
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,25,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,30
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,26,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,31
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,27,nb,3,3,standard,,Suivi_2025.xlsx,Staurozoa,7,32
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,28,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,33
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,29,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,34
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,30,nb,3.0,3.0,standard,,Suivi_2025.xlsx,Staurozoa,7,35
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,31,nb,2,2,standard,,Suivi_2025.xlsx,Staurozoa,7,36
2025,Staurozoa,Staurozoa sp.,STA-FPA-1.02,15,32,nb,2,2,standard,,Suivi_2025.xlsx,Staurozoa,7,37
