id_boite,global_id,code_local,numero_boite_local,date_creation,statut_boite,id_souche
1,POLYPBASE-000001,ALA-JKA-1.02,02,,historique,1
2,POLYPBASE-000002,ALA-JKA-1.03,03,,historique,1
3,POLYPBASE-000003,ALA-JKA-1.04,04,,historique,1
4,POLYPBASE-000004,ALI-JKA-1.03,03,,historique,2
5,POLYPBASE-000005,ALI-JKA-1.04,04,,historique,2
6,POLYPBASE-000006,ALI-JKA-2.02,02,,historique,3
7,POLYPBASE-000007,ALI-FPA-3.01,01,,historique,4
8,POLYPBASE-000008,AMA-JKA-1.01,01,,historique,5
9,POLYPBASE-000009,AMA-JKA-1.03,03,,historique,5
10,POLYPBASE-000010,AMA-JKA-1.04,04,,historique,5
11,POLYPBASE-000011,LAQ-JKA-1.01,01,,historique,6
12,POLYPBASE-000012,LAQ-JKA-1.02,02,,historique,6
13,POLYPBASE-000013,LUN-ESS-1.03,03,,historique,7
14,POLYPBASE-000014,LUN-ABR-2.01,01,,historique,8
15,POLYPBASE-000015,AMO-JKA-1.01,01,,historique,9
16,POLYPBASE-000016,AMO-JKA-1.02,02,,historique,9
17,POLYPBASE-000017,CMA-JKA-1.01,01,,historique,10
18,POLYPBASE-000018,CMA-JKA-1.02,02,,historique,10
19,POLYPBASE-000019,CMA-JKA-1.03,03,,historique,10
20,POLYPBASE-000020,ACO-JKA-2.01,01,,historique,11
21,POLYPBASE-000021,ACO-JKA-2.02,02,,historique,11
22,POLYPBASE-000022,AVI-JKA-1.03,03,,historique,12
23,POLYPBASE-000023,AVI-JKA-1.04,04,,historique,12
24,POLYPBASE-000024,CLH-FVI-1.01,01,,historique,13
25,POLYPBASE-000025,CLH-FVI-1.02,02,,historique,13
26,POLYPBASE-000026,CSO-JKA-2.01,01,,historique,14
27,POLYPBASE-000027,CSO-JKA-3.01,01,,historique,15
28,POLYPBASE-000028,ELA-FPA-1.01,01,,historique,16
29,POLYPBASE-000029,ELA-FPA-1.02,02,,historique,16
30,POLYPBASE-000030,EIN-JKA-1.01,01,,historique,17
31,POLYPBASE-000031,EIN-JKA-1.03,03,,historique,17
