id_souche,code_souche,numero_souche_local,nom_souche,id_espece
1,ALA-JKA-1,1,ALA-JKA-1,13
2,ALI-JKA-1,1,ALI-JKA-1,14
3,ALI-JKA-2,2,ALI-JKA-2,14
4,ALI-FPA-3,3,ALI-FPA-3,14
5,AMA-JKA-1,1,AMA-JKA-1,16
6,LAQ-JKA-1,1,LAQ-JKA-1,86
7,LUN-ESS-1,1,LUN-ESS-1,89
8,LUN-ABR-2,2,LUN-ABR-2,89
9,AMO-JKA-1,1,AMO-JKA-1,8
10,CMA-JKA-1,1,CMA-JKA-1,26
11,ACO-JKA-2,2,ACO-JKA-2,3
12,AVI-JKA-1,1,AVI-JKA-1,5
13,CLH-FVI-1,1,CLH-FVI-1,54
14,CSO-JKA-2,2,CSO-JKA-2,59
15,CSO-JKA-3,3,CSO-JKA-3,59
16,ELA-FPA-1,1,ELA-FPA-1,72
17,EIN-JKA-1,1,EIN-JKA-1,74
18,LSP-FPA-1,1,LSP-FPA-1,85
19,LSP-JKA-1,1,LSP-JKA-1,85
20,NBR-JKA-1,1,NBR-JKA-1,99
21,PRU-ABE-1,1,PRU-ABE-1,103
22,STU-JKA-1,1,STU-JKA-1,121
23,TMU-JKA-1,1,TMU-JKA-1,129
24,TFO-JKA-1,1,TFO-JKA-1,130
25,TSP-JKA-1,1,TSP-JKA-1,139
26,CSP-FPA-1,1,CSP-FPA-1,29
27,CSP-FPA-2,2,CSP-FPA-2,29
28,CSP-JKA-3,3,CSP-JKA-3,29
29,CMO-JEN-1,1,CMO-JEN-1,32
30,CMO-JEN-2,2,CMO-JEN-2,32
31,CCE-ABE-1,1,CCE-ABE-1,35
32,CTU-JKA-1,1,CTU-JKA-1,58
33,CTU-FCF-2,2,CTU-FCF-2,58
34,CTU-ABE-3,3,CTU-ABE-3,58
35,LLU-JKA-1,1,LLU-JKA-1,93
36,LLU-JKA-2,2,LLU-JKA-2,93
37,MPA-JKA-2,2,MPA-JKA-2,95
38,MPA-FMO-3,3,MPA-FMO-3,95
39,NSE-ABE-1,1,NSE-ABE-1,100
40,PPU-FRO-1,1,PPU-FRO-1,108
41,RLU-JKA-1,1,RLU-JKA-1,111
42,RLU-JKA-2,2,RLU-JKA-2,111
43,ROC-AHM-1,1,ROC-AHM-1,112
44,RPU-JKA-2,2,RPU-JKA-2,113
45,RPU-ESP-3,3,RPU-ESP-3,113
46,RAS-JKA-1,1,RAS-JKA-1,114
47,RES-JKA-1,1,RES-JKA-1,115
48,SME-JKA-1,1,SME-JKA-1,123
49,TTH-AVI-1,1,TTH-AVI-1,128
50,CAC-JKA-1,1,CAC-JKA-1,36
51,CCP-TPR-1,1,CCP-TPR-1,37
52,CCO-JKA-1,1,CCO-JKA-1,42
53,CFU-JKA-1,1,CFU-JKA-1,43
54,CFU-JKA-2,2,CFU-JKA-2,43
